zone,target_local,target_utc,day_ahead,buy_day_ahead,energy_bid_up,hold_capacity_up,unit
SE3,2026-09-21T01:00:00+02:00,2026-09-20T23:00:00+00:00,10.3,False,15.3,True,EUR/MWh
SE3,2026-09-21T01:15:00+02:00,2026-09-20T23:15:00+00:00,9.99,False,14.99,True,EUR/MWh
SE3,2026-09-21T01:30:00+02:00,2026-09-20T23:30:00+00:00,10.3,False,15.3,True,EUR/MWh
SE3,2026-09-21T01:45:00+02:00,2026-09-20T23:45:00+00:00,9.99,False,14.99,True,EUR/MWh
SE3,2026-09-21T02:00:00+02:00,2026-09-21T00:00:00+00:00,8.54,False,13.54,True,EUR/MWh
SE3,2026-09-21T02:15:00+02:00,2026-09-21T00:15:00+00:00,7.73,False,12.73,True,EUR/MWh
SE3,2026-09-21T02:30:00+02:00,2026-09-21T00:30:00+00:00,9.99,False,14.99,True,EUR/MWh
SE3,2026-09-21T02:45:00+02:00,2026-09-21T00:45:00+00:00,10.0,False,15.0,True,EUR/MWh
SE3,2026-09-21T03:00:00+02:00,2026-09-21T01:00:00+00:00,9.79,False,14.79,True,EUR/MWh
SE3,2026-09-21T03:15:00+02:00,2026-09-21T01:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE3,2026-09-21T03:30:00+02:00,2026-09-21T01:30:00+00:00,10.4,False,15.4,True,EUR/MWh
SE3,2026-09-21T03:45:00+02:00,2026-09-21T01:45:00+00:00,10.82,False,15.82,True,EUR/MWh
SE3,2026-09-21T04:00:00+02:00,2026-09-21T02:00:00+00:00,8.1,False,13.1,True,EUR/MWh
SE3,2026-09-21T04:15:00+02:00,2026-09-21T02:15:00+00:00,10.0,False,15.0,True,EUR/MWh
SE3,2026-09-21T04:30:00+02:00,2026-09-21T02:30:00+00:00,16.22,False,21.22,True,EUR/MWh
SE3,2026-09-21T04:45:00+02:00,2026-09-21T02:45:00+00:00,21.52,False,26.52,True,EUR/MWh
SE3,2026-09-21T05:00:00+02:00,2026-09-21T03:00:00+00:00,15.49,False,20.49,True,EUR/MWh
SE3,2026-09-21T05:15:00+02:00,2026-09-21T03:15:00+00:00,24.73,False,29.73,True,EUR/MWh
SE3,2026-09-21T05:30:00+02:00,2026-09-21T03:30:00+00:00,33.38,False,38.38,True,EUR/MWh
SE3,2026-09-21T05:45:00+02:00,2026-09-21T03:45:00+00:00,47.55,False,52.55,True,EUR/MWh
SE3,2026-09-21T06:00:00+02:00,2026-09-21T04:00:00+00:00,38.16,False,43.16,True,EUR/MWh
SE3,2026-09-21T06:15:00+02:00,2026-09-21T04:15:00+00:00,47.5,False,52.5,True,EUR/MWh
SE3,2026-09-21T06:30:00+02:00,2026-09-21T04:30:00+00:00,58.62,False,63.62,True,EUR/MWh
SE3,2026-09-21T06:45:00+02:00,2026-09-21T04:45:00+00:00,95.0,False,100.0,True,EUR/MWh
SE3,2026-09-21T07:00:00+02:00,2026-09-21T05:00:00+00:00,95.0,False,100.0,True,EUR/MWh
SE3,2026-09-21T07:15:00+02:00,2026-09-21T05:15:00+00:00,105.32,False,110.32,True,EUR/MWh
SE3,2026-09-21T07:30:00+02:00,2026-09-21T05:30:00+00:00,109.68,False,114.68,True,EUR/MWh
SE3,2026-09-21T07:45:00+02:00,2026-09-21T05:45:00+00:00,109.99,False,114.99,True,EUR/MWh
SE3,2026-09-21T08:00:00+02:00,2026-09-21T06:00:00+00:00,104.63,False,109.63,True,EUR/MWh
